ECO,OpeningCategory,OpeningType,Games,BlackWins,BlackWinRate,AvgWhiteElo,AvgBlackElo,EloDiff
A45e,A,Queen's Pawn Opening,146,81.0,0.55,2189.24,2231.86,-42.62
A03,A,Other,977,460.0,0.47,2155.08,2146.75,8.33
C00q,C,King's Pawn Opening,74,31.0,0.42,2189.09,2052.55,136.54
B12i,B,King's Pawn Opening,157,68.5,0.44,2184.65,2100.8,83.85
C02s,C,King's Pawn Opening,467,200.5,0.43,2173.72,2108.86,64.86
B15r,B,King's Pawn Opening,138,76.0,0.55,2183.85,2214.01,-30.16
C51,C,King's Pawn Opening,129,56.5,0.44,2167.91,2122.48,45.43
B52m,B,King's Pawn Opening,26,9.0,0.35,2264.35,2136.46,127.89
C05n,C,King's Pawn Opening,24,15.5,0.65,2068.62,2234.71,-166.09
E62n,E,Queen's Pawn Opening,29,15.5,0.53,2124.62,2226.83,-102.21
A11,A,Other,2008,789.0,0.39,2319.62,2238.3,81.32
B50k,B,King's Pawn Opening,294,121.0,0.41,2271.26,2244.06,27.2
D30m,D,Queen's Pawn Opening,61,25.5,0.42,2274.43,2163.1,111.33
B50u,B,King's Pawn Opening,32,14.5,0.45,2122.0,2140.62,-18.62
B12j,B,King's Pawn Opening,1589,715.0,0.45,2240.08,2209.4,30.68
D45c,D,Queen's Pawn Opening,64,24.0,0.38,2170.52,2140.73,29.79
D35l,D,Queen's Pawn Opening,113,66.0,0.58,2169.82,2291.0,-121.18
A46t,A,Queen's Pawn Opening,62,33.5,0.54,2225.69,2248.03,-22.34
D34a,D,Queen's Pawn Opening,21,9.0,0.43,2186.57,2160.71,25.86
B10o,B,King's Pawn Opening,1473,584.5,0.4,2345.26,2302.11,43.15
C42n,C,King's Pawn Opening,80,38.0,0.47,2262.9,2298.8,-35.9
B28j,B,King's Pawn Opening,293,111.5,0.38,2220.95,2221.61,-0.66
D36s,D,Queen's Pawn Opening,20,6.5,0.33,2222.95,2054.75,168.2
C11m,C,King's Pawn Opening,147,59.5,0.4,2346.82,2322.16,24.66
A06,A,Other,3132,1386.0,0.44,2306.59,2270.42,36.17
E62t,E,Queen's Pawn Opening,370,169.5,0.46,2293.19,2258.58,34.61
A40a,A,Queen's Pawn Opening,794,247.0,0.31,2202.63,2265.15,-62.52
B13d,B,King's Pawn Opening,129,58.5,0.45,2115.6,2122.54,-6.94
E92m,E,Queen's Pawn Opening,43,15.5,0.36,2309.23,2286.07,23.16
D00o,D,Queen's Pawn Opening,3697,1723.5,0.47,2243.4,2239.76,3.64
B23l,B,King's Pawn Opening,434,159.5,0.37,2176.18,2104.12,72.06
B90e,B,King's Pawn Opening,1209,574.5,0.48,2234.31,2243.72,-9.41
D45e,D,Queen's Pawn Opening,134,62.5,0.47,2315.24,2310.28,4.96
B73,B,King's Pawn Opening,193,110.5,0.57,2020.88,2156.22,-135.34
A00m,A,Other,229,101.0,0.44,2246.0,2171.92,74.08
C47d,C,King's Pawn Opening,107,66.5,0.62,1961.32,2032.54,-71.22
B90n,B,King's Pawn Opening,354,191.0,0.54,2216.85,2267.86,-51.01
B03n,B,King's Pawn Opening,112,62.5,0.56,2166.93,2173.2,-6.27
C26h,C,King's Pawn Opening,86,31.5,0.37,2189.14,2119.93,69.21
B41l,B,King's Pawn Opening,329,172.0,0.52,2229.13,2271.86,-42.73
B22q,B,King's Pawn Opening,169,80.5,0.48,2154.76,2187.59,-32.83
D78f,D,Queen's Pawn Opening,139,65.5,0.47,2244.73,2190.91,53.82
B41g,B,King's Pawn Opening,54,13.5,0.25,2163.17,2070.02,93.15
D11t,D,Queen's Pawn Opening,264,117.0,0.44,2310.93,2258.19,52.74
E32g,E,Queen's Pawn Opening,128,62.0,0.48,2233.91,2279.16,-45.25
A38f,A,Other,21,10.5,0.5,2155.81,2155.86,-0.05
C07q,C,King's Pawn Opening,169,79.5,0.47,2230.95,2297.31,-66.36
B33b,B,King's Pawn Opening,191,104.5,0.55,2184.8,2286.94,-102.14
B70c,B,King's Pawn Opening,82,35.0,0.43,2215.88,2288.82,-72.94
D19o,D,Queen's Pawn Opening,15,5.5,0.37,2001.6,1952.6,49.0
D55a,D,Queen's Pawn Opening,42,16.5,0.39,2157.9,2031.57,126.33
E73a,E,Queen's Pawn Opening,20,7.0,0.35,2157.15,2057.55,99.6
B36o,B,King's Pawn Opening,175,78.0,0.45,2242.87,2220.16,22.71
A02,A,Other,592,265.5,0.45,2159.01,2174.98,-15.97
B32p,B,King's Pawn Opening,367,209.5,0.57,2168.4,2239.61,-71.21
C45p,C,King's Pawn Opening,397,171.0,0.43,2188.57,2163.28,25.29
C41i,C,King's Pawn Opening,37,14.0,0.38,2310.32,2297.3,13.02
D00n,D,Queen's Pawn Opening,477,220.5,0.46,2210.34,2196.22,14.12
D03m,D,Queen's Pawn Opening,6,2.5,0.42,2185.0,2235.33,-50.33
A45g,A,Queen's Pawn Opening,3288,1749.0,0.53,2154.35,2209.3,-54.95
A38a,A,Other,11,4.5,0.41,2263.91,2191.18,72.73
C54f,C,King's Pawn Opening,409,183.5,0.45,2215.79,2196.65,19.14
D11s,D,Queen's Pawn Opening,116,50.0,0.43,2281.47,2191.74,89.73
E05k,E,Queen's Pawn Opening,148,73.0,0.49,2286.77,2236.73,50.04
D94,D,Queen's Pawn Opening,588,252.0,0.43,2239.31,2200.88,38.43
A43a,A,Queen's Pawn Opening,55,37.5,0.68,1941.65,2057.56,-115.91
B01l,B,King's Pawn Opening,181,92.5,0.51,2202.85,2286.45,-83.6
A62,A,Queen's Pawn Opening,434,228.0,0.53,2246.68,2322.89,-76.21
D30v,D,Queen's Pawn Opening,106,49.0,0.46,2359.72,2323.08,36.64
E47,E,Queen's Pawn Opening,225,103.5,0.46,2353.74,2346.28,7.46
D29d,D,Queen's Pawn Opening,3,1.0,0.33,2140.33,2203.33,-63.0
A30b,A,Other,237,98.0,0.41,2239.51,2192.41,47.1
D53v,D,Queen's Pawn Opening,23,8.5,0.37,2373.87,2149.57,224.3
C06q,C,King's Pawn Opening,72,26.5,0.37,2166.76,2131.38,35.38
A57a,A,Queen's Pawn Opening,234,100.5,0.43,2150.4,2154.08,-3.68
A13l,A,Other,393,159.0,0.4,2306.41,2270.74,35.67
A58o,A,Queen's Pawn Opening,10,3.5,0.35,2175.3,2126.8,48.5
D02d,D,Queen's Pawn Opening,136,60.5,0.44,2111.76,2056.51,55.25
B01i,B,King's Pawn Opening,218,116.0,0.53,2161.16,2142.18,18.98
B38v,B,King's Pawn Opening,35,12.5,0.36,2173.77,2111.51,62.26
B01w,B,King's Pawn Opening,109,53.0,0.49,2082.71,2093.42,-10.71
B95e,B,King's Pawn Opening,15,8.0,0.53,2187.47,2163.4,24.07
A35h,A,Other,95,36.0,0.38,2300.77,2199.15,101.62
B90a,B,King's Pawn Opening,1458,692.5,0.47,2291.94,2290.73,1.21
E05q,E,Queen's Pawn Opening,29,17.5,0.6,2051.03,2042.72,8.31
C01o,C,King's Pawn Opening,198,96.0,0.48,2106.56,2130.93,-24.37
A10,A,Other,1217,570.0,0.47,2199.71,2231.92,-32.21
B07a,B,King's Pawn Opening,180,96.5,0.54,2104.04,2233.81,-129.77
C43q,C,King's Pawn Opening,16,6.5,0.41,2178.69,2309.0,-130.31
A40c,A,Queen's Pawn Opening,130,73.0,0.56,2176.23,2277.18,-100.95
D01m,D,Queen's Pawn Opening,23,14.0,0.61,2006.3,2011.48,-5.18
D02l,D,Queen's Pawn Opening,186,82.0,0.44,2111.95,2110.69,1.26
A16,A,Other,1066,446.0,0.42,2237.16,2166.75,70.41
B27f,B,King's Pawn Opening,6,3.5,0.58,1773.17,1550.5,222.67
B40e,B,King's Pawn Opening,1121,517.0,0.46,2284.66,2265.66,19.0
A40w,A,Queen's Pawn Opening,109,57.5,0.53,2211.72,2317.68,-105.96
C15r,C,King's Pawn Opening,64,28.0,0.44,2282.05,2281.22,0.83
E00q,E,Queen's Pawn Opening,50,20.5,0.41,2193.96,2053.12,140.84
A40l,A,Queen's Pawn Opening,85,40.0,0.47,2186.2,2212.62,-26.42
B11b,B,King's Pawn Opening,49,26.0,0.53,2231.55,2267.82,-36.27
A80t,A,Queen's Pawn Opening,97,47.0,0.48,2058.93,2207.64,-148.71
B43f,B,King's Pawn Opening,24,15.0,0.62,2227.58,2398.75,-171.17
C44x,C,King's Pawn Opening,76,27.5,0.36,1789.68,1785.66,4.02
D20y,D,Queen's Pawn Opening,71,30.0,0.42,2309.08,2210.17,98.91
B02i,B,King's Pawn Opening,63,31.5,0.5,2111.48,2111.33,0.15
B23b,B,King's Pawn Opening,335,159.5,0.48,2146.47,2109.6,36.87
B34p,B,King's Pawn Opening,61,30.0,0.49,2047.11,2115.66,-68.55
B30k,B,King's Pawn Opening,678,288.0,0.42,2251.63,2187.52,64.11
B94d,B,King's Pawn Opening,238,124.5,0.52,2247.25,2304.21,-56.96
C10f,C,King's Pawn Opening,38,12.5,0.33,2064.16,1924.08,140.08
D52f,D,Queen's Pawn Opening,25,7.5,0.3,2334.96,2263.64,71.32
B01e,B,King's Pawn Opening,216,103.0,0.48,2131.52,2164.62,-33.1
A04,A,Other,2850,1288.5,0.45,2246.45,2239.87,6.58
B51o,B,King's Pawn Opening,32,10.5,0.33,2148.31,2046.12,102.19
D43v,D,Queen's Pawn Opening,14,9.0,0.64,2243.07,2182.21,60.86
C45r,C,King's Pawn Opening,126,58.0,0.46,2132.27,2125.54,6.73
D35m,D,Queen's Pawn Opening,820,368.0,0.45,2344.13,2349.28,-5.15
A48j,A,Queen's Pawn Opening,287,141.5,0.49,2019.69,2072.02,-52.33
C17h,C,King's Pawn Opening,48,24.5,0.51,2315.71,2301.88,13.83
B45h,B,King's Pawn Opening,122,59.0,0.48,2263.12,2276.2,-13.08
E60l,E,Queen's Pawn Opening,60,21.5,0.36,2247.78,2197.0,50.78
B56h,B,King's Pawn Opening,143,76.5,0.53,2147.45,2232.92,-85.47
E40,E,Queen's Pawn Opening,154,70.5,0.46,2275.93,2265.4,10.53
B40o,B,King's Pawn Opening,22,9.5,0.43,1938.95,2063.23,-124.28
A24,A,Other,304,139.5,0.46,2179.02,2142.66,36.36
D79i,D,Queen's Pawn Opening,97,47.0,0.48,2264.69,2269.94,-5.25
B40f,B,King's Pawn Opening,170,85.5,0.5,2118.24,2126.08,-7.84
C05u,C,King's Pawn Opening,29,7.5,0.26,2227.34,2054.69,172.65
E71f,E,Queen's Pawn Opening,300,119.5,0.4,2259.2,2170.44,88.76
D09,D,Queen's Pawn Opening,93,40.5,0.44,2216.26,2101.55,114.71
C77c,C,King's Pawn Opening,436,199.5,0.46,2258.09,2221.41,36.68
D35i,D,Queen's Pawn Opening,527,256.0,0.49,2293.43,2290.75,2.68
D43s,D,Queen's Pawn Opening,80,50.0,0.62,2329.82,2407.35,-77.53
B23g,B,King's Pawn Opening,222,118.0,0.53,2093.89,2222.41,-128.52
E16d,E,Queen's Pawn Opening,220,99.0,0.45,2357.46,2343.54,13.92
B22j,B,King's Pawn Opening,349,170.5,0.49,2248.53,2299.35,-50.82
C67n,C,King's Pawn Opening,301,147.0,0.49,2390.94,2409.87,-18.93
B69,B,King's Pawn Opening,126,70.0,0.56,2267.72,2361.83,-94.11
E61n,E,Queen's Pawn Opening,103,55.5,0.54,2020.22,2117.64,-97.42
A07,A,Other,4262,1836.5,0.43,2330.91,2278.86,52.05
E05l,E,Queen's Pawn Opening,175,70.0,0.4,2305.98,2270.54,35.44
E30,E,Queen's Pawn Opening,68,35.0,0.51,2004.65,2118.78,-114.13
D85s,D,Queen's Pawn Opening,31,12.0,0.39,2196.19,2219.71,-23.52
C43s,C,King's Pawn Opening,3,0.5,0.17,2275.67,2256.33,19.34
E48,E,Queen's Pawn Opening,421,198.5,0.47,2364.33,2379.77,-15.44
A38e,A,Other,48,22.0,0.46,2149.65,2149.98,-0.33
B96c,B,King's Pawn Opening,8,5.5,0.69,2090.5,2003.38,87.12
B12x,B,King's Pawn Opening,104,55.0,0.53,2255.97,2303.9,-47.93
B07q,B,King's Pawn Opening,262,117.0,0.45,2069.84,2086.1,-16.26
A60m,A,Queen's Pawn Opening,11,9.5,0.86,2102.0,2317.55,-215.55
C07e,C,King's Pawn Opening,32,15.5,0.48,2326.78,2323.5,3.28
C07o,C,King's Pawn Opening,101,40.5,0.4,2243.97,2231.5,12.47
E01,E,Queen's Pawn Opening,670,281.5,0.42,2206.64,2159.19,47.45
C49d,C,King's Pawn Opening,96,39.0,0.41,2333.82,2263.21,70.61
C47u,C,King's Pawn Opening,403,183.5,0.46,2301.33,2327.0,-25.67
E21,E,Queen's Pawn Opening,362,198.0,0.55,2200.9,2275.43,-74.53
A36m,A,Other,52,26.0,0.5,2273.31,2271.73,1.58
D13o,D,Queen's Pawn Opening,73,47.0,0.64,2153.78,2224.64,-70.86
B19r,B,King's Pawn Opening,23,10.0,0.43,2199.83,2062.3,137.53
A41e,A,Queen's Pawn Opening,298,154.0,0.52,2231.51,2274.78,-43.27
B50g,B,King's Pawn Opening,195,102.5,0.53,2147.69,2191.49,-43.8
A43f,A,Queen's Pawn Opening,14,6.0,0.43,2296.43,2126.5,169.93
B53l,B,King's Pawn Opening,304,131.0,0.43,2272.9,2234.1,38.8
E11q,E,Queen's Pawn Opening,119,55.5,0.47,2257.53,2209.46,48.07
C00k,C,King's Pawn Opening,237,127.0,0.54,2128.17,2153.53,-25.36
E94q,E,Queen's Pawn Opening,29,15.0,0.52,1997.1,2022.55,-25.45
E18c,E,Queen's Pawn Opening,27,10.0,0.37,2087.11,1986.37,100.74
C11t,C,King's Pawn Opening,118,47.5,0.4,2254.86,2149.57,105.29
B13g,B,King's Pawn Opening,127,68.0,0.54,2208.07,2242.27,-34.2
A13d,A,Other,204,101.0,0.5,2321.54,2333.47,-11.93
D00q,D,Queen's Pawn Opening,294,132.5,0.45,2216.55,2258.87,-42.32
C11j,C,King's Pawn Opening,225,101.0,0.45,2297.76,2290.83,6.93
D97f,D,Queen's Pawn Opening,42,17.0,0.4,2238.05,2255.48,-17.43
C02l,C,King's Pawn Opening,174,68.0,0.39,2167.32,2095.27,72.05
D38h,D,Queen's Pawn Opening,62,16.5,0.27,2152.48,1892.08,260.4
B22a,B,King's Pawn Opening,403,203.0,0.5,2174.77,2191.24,-16.47
E18h,E,Queen's Pawn Opening,54,13.0,0.24,2164.28,1990.43,173.85
A46d,A,Queen's Pawn Opening,149,76.5,0.51,2194.47,2243.31,-48.84
A58a,A,Queen's Pawn Opening,113,50.5,0.45,2203.07,2190.01,13.06
C10k,C,King's Pawn Opening,94,40.0,0.43,2115.57,2096.47,19.1
A01,A,Other,3970,1694.0,0.43,2297.32,2235.72,61.6
B22p,B,King's Pawn Opening,756,331.5,0.44,2267.83,2271.32,-3.49
E60c,E,Queen's Pawn Opening,10,6.0,0.6,2246.3,2253.9,-7.6
E97j,E,Queen's Pawn Opening,13,6.0,0.46,2130.0,2168.46,-38.46
E00k,E,Queen's Pawn Opening,58,24.0,0.41,2256.69,2166.21,90.48
A40t,A,Queen's Pawn Opening,226,135.5,0.6,2172.56,2284.59,-112.03
C47i,C,King's Pawn Opening,38,15.5,0.41,2219.79,2116.47,103.32
B50f,B,King's Pawn Opening,204,94.0,0.46,2181.46,2222.0,-40.54
B34j,B,King's Pawn Opening,54,19.5,0.36,2076.41,2142.2,-65.79
C41j,C,King's Pawn Opening,14,2.5,0.18,1839.57,1348.93,490.64
A20,A,Other,1572,687.5,0.44,2305.21,2296.19,9.02
C11s,C,King's Pawn Opening,114,62.0,0.54,2283.94,2335.32,-51.38
C77h,C,King's Pawn Opening,245,92.0,0.38,2428.61,2359.0,69.61
D46a,D,Queen's Pawn Opening,7,1.0,0.14,2084.14,2183.86,-99.72
D12n,D,Queen's Pawn Opening,181,70.5,0.39,2397.23,2313.17,84.06
A45v,A,Queen's Pawn Opening,84,47.0,0.56,2177.3,2198.26,-20.96
B15t,B,King's Pawn Opening,461,246.0,0.53,2127.17,2162.81,-35.64
D35t,D,Queen's Pawn Opening,175,60.0,0.34,2327.89,2236.49,91.4
E08a,E,Queen's Pawn Opening,42,18.0,0.43,2278.83,2233.98,44.85
B07h,B,King's Pawn Opening,222,110.0,0.5,2173.29,2200.34,-27.05
E32c,E,Queen's Pawn Opening,106,63.5,0.6,2336.31,2429.88,-93.57
B07m,B,King's Pawn Opening,693,362.5,0.52,2191.75,2267.24,-75.49
A48c,A,Queen's Pawn Opening,321,164.0,0.51,2150.53,2199.59,-49.06
C43g,C,King's Pawn Opening,117,52.0,0.44,2376.07,2348.34,27.73
C59g,C,King's Pawn Opening,1,1,1.0,1457.0,2122.0,-665.0
D04f,D,Queen's Pawn Opening,135,74.0,0.55,2067.76,2120.57,-52.81
C68o,C,King's Pawn Opening,88,36.0,0.41,2255.27,2181.6,73.67
B02g,B,King's Pawn Opening,113,62.5,0.55,2081.71,2176.27,-94.56
C42l,C,King's Pawn Opening,71,26.0,0.37,2315.44,2228.13,87.31
A40i,A,Queen's Pawn Opening,392,172.5,0.44,2184.44,2110.21,74.23
B42b,B,King's Pawn Opening,40,22.5,0.56,2248.15,2349.8,-101.65
A61,A,Queen's Pawn Opening,368,176.5,0.48,2256.8,2251.26,5.54
D02c,D,Queen's Pawn Opening,113,43.0,0.38,2211.59,2136.38,75.21
A48g,A,Queen's Pawn Opening,122,66.0,0.54,2105.36,2203.06,-97.7
D05a,D,Queen's Pawn Opening,76,36.5,0.48,2198.76,2209.26,-10.5
D43n,D,Queen's Pawn Opening,37,19.0,0.51,2362.49,2334.89,27.6
D18f,D,Queen's Pawn Opening,24,10.0,0.42,2069.08,1986.29,82.79
A48o,A,Queen's Pawn Opening,138,56.0,0.41,2247.86,2231.67,16.19
B45u,B,King's Pawn Opening,114,52.5,0.46,2283.41,2256.43,26.98
D13d,D,Queen's Pawn Opening,28,12,0.43,1868.21,1738.64,129.57
B10e,B,King's Pawn Opening,114,54.5,0.48,2182.87,2163.28,19.59
B23e,B,King's Pawn Opening,428,226.0,0.53,2158.96,2198.42,-39.46
B31c,B,King's Pawn Opening,322,142.5,0.44,2253.49,2254.76,-1.27
B09q,B,King's Pawn Opening,26,16.0,0.62,2199.46,2202.81,-3.35
B01b,B,King's Pawn Opening,619,297.0,0.48,2193.29,2184.63,8.66
B00c,B,King's Pawn Opening,456,282.5,0.62,2264.29,2380.19,-115.9
D36i,D,Queen's Pawn Opening,179,88.0,0.49,2245.22,2241.78,3.44
D45q,D,Queen's Pawn Opening,60,34.0,0.57,2237.68,2236.78,0.9
D55k,D,Queen's Pawn Opening,25,8.0,0.32,2367.76,2322.72,45.04
A15,A,Other,948,422.0,0.45,2268.84,2230.58,38.26
E15t,E,Queen's Pawn Opening,76,29.0,0.38,2214.46,2211.7,2.76
C50j,C,King's Pawn Opening,8,6.5,0.81,1189.12,1210.38,-21.26
B13s,B,King's Pawn Opening,95,44.0,0.46,2068.0,2060.22,7.78
C53,C,King's Pawn Opening,99,40.0,0.4,1898.96,1846.19,52.77
C05a,C,King's Pawn Opening,60,29.5,0.49,2194.32,2145.58,48.74
D02h,D,Queen's Pawn Opening,280,129.0,0.46,2233.41,2221.93,11.48
A58b,A,Queen's Pawn Opening,308,156.5,0.51,2205.39,2210.1,-4.71
B13c,B,King's Pawn Opening,265,140.0,0.53,2114.56,2119.66,-5.1
D32r,D,Queen's Pawn Opening,36,17.5,0.49,2110.78,2152.39,-41.61
E65g,E,Queen's Pawn Opening,93,44.0,0.47,2218.17,2229.77,-11.6
C14h,C,King's Pawn Opening,58,26.5,0.46,2128.12,2026.72,101.4
D31c,D,Queen's Pawn Opening,192,103.5,0.54,2273.24,2361.09,-87.85
A23,A,Other,173,94.5,0.55,2150.52,2197.09,-46.57
A05,A,Other,3118,1380.5,0.44,2290.99,2250.79,40.2
D02i,D,Queen's Pawn Opening,129,57.0,0.44,2205.44,2179.59,25.85
E27,E,Queen's Pawn Opening,208,99.5,0.48,2170.97,2157.97,13.0
E73h,E,Queen's Pawn Opening,784,320.5,0.41,2310.55,2273.63,36.92
A00v,A,Other,617,297.5,0.48,2298.83,2225.87,72.96
B26f,B,King's Pawn Opening,32,14.0,0.44,2047.41,2076.0,-28.59
D85o,D,Queen's Pawn Opening,22,10.0,0.45,2047.41,2165.32,-117.91
D37a,D,Queen's Pawn Opening,750,361.0,0.48,2308.77,2316.07,-7.3
B27g,B,King's Pawn Opening,356,147.5,0.41,2257.15,2199.67,57.48
B17d,B,King's Pawn Opening,67,35.0,0.52,2155.06,2221.28,-66.22
D07f,D,Queen's Pawn Opening,28,12.0,0.43,1994.18,1688.96,305.22
C54n,C,King's Pawn Opening,13,3.5,0.27,1833.46,1777.85,55.61
D41s,D,Queen's Pawn Opening,17,7.0,0.41,2199.59,2205.82,-6.23
D15b,D,Queen's Pawn Opening,37,12.5,0.34,1954.08,1719.7,234.38
A42q,A,Queen's Pawn Opening,38,21.0,0.55,2150.16,2220.63,-70.47
E68j,E,Queen's Pawn Opening,56,22.0,0.39,2118.98,2072.52,46.46
A09m,A,Other,79,42.5,0.54,2350.94,2381.03,-30.09
A90,A,Queen's Pawn Opening,437,199.0,0.46,2151.14,2125.79,25.35
C02r,C,King's Pawn Opening,38,20.0,0.53,1972.87,2031.42,-58.55
C02q,C,King's Pawn Opening,345,153.5,0.44,2369.39,2348.3,21.09
E60f,E,Queen's Pawn Opening,239,126.0,0.53,2366.9,2447.27,-80.37
A25,A,Other,880,391.0,0.44,2187.79,2161.22,26.57
E11n,E,Queen's Pawn Opening,194,107.0,0.55,2127.23,2179.6,-52.37
A48l,A,Queen's Pawn Opening,397,174.0,0.44,2190.89,2226.78,-35.89
E12j,E,Queen's Pawn Opening,160,60.0,0.38,2291.44,2174.48,116.96
B51n,B,King's Pawn Opening,34,16.0,0.47,2059.26,2132.68,-73.42
A36z,A,Other,82,40.5,0.49,2096.93,2104.12,-7.19
A32,A,Other,381,197.0,0.52,2239.29,2281.13,-41.84
E62q,E,Queen's Pawn Opening,53,25.0,0.47,2183.53,2261.09,-77.56
E04k,E,Queen's Pawn Opening,35,19.5,0.56,2141.91,2090.54,51.37
D01d,D,Queen's Pawn Opening,22,16.5,0.75,2099.55,2180.64,-81.09
A14,A,Other,1462,594.0,0.41,2350.24,2256.16,94.08
B30t,B,King's Pawn Opening,513,221.5,0.43,2355.32,2348.99,6.33
D26b,D,Queen's Pawn Opening,24,7.5,0.31,2117.71,1906.83,210.88
A46c,A,Queen's Pawn Opening,98,44.0,0.45,2131.33,2187.05,-55.72
B08t,B,King's Pawn Opening,50,19.0,0.38,2249.28,2179.24,70.04
D11m,D,Queen's Pawn Opening,175,79.0,0.45,2275.17,2236.4,38.77
B03i,B,King's Pawn Opening,87,36.0,0.41,2184.63,2148.29,36.34
D02k,D,Queen's Pawn Opening,613,274.5,0.45,2316.7,2300.38,16.32
D90,D,Queen's Pawn Opening,387,170.5,0.44,2288.65,2235.6,53.05
B43g,B,King's Pawn Opening,167,94.0,0.56,1993.66,2075.0,-81.34
C77b,C,King's Pawn Opening,175,77.0,0.44,2332.11,2305.32,26.79
